Category,Level1,Level2,Level3,Level4,Total,,A,B,C,D
,Bangunan,Bahan baku,Batu bata,Batu bata,93,,0,0,0,0
,Bangunan,Bahan baku,Pasir,Pasir,9,b,,,,0.38
,Bangunan,Bahan baku,Semen,Semen,14,b,,,,0.893
,Bangunan,Bahan baku,Cat,Cat,71,b,,,,0.083
,Bangunan,Bahan baku,Puing,Puing,84,b,,,,54.561
,Bangunan,Bahan baku,Keramik,Keramik,24,b,,,,-0.052
,Bangunan,Bahan baku,Kayu,Kayu,23,b,,,,0.105
,Bangunan,Bahan baku,Kabel,Kabel,39,b,,,,83.099
,Bangunan,Alat,Kuas,Kuas,38,b,,,,-2.075
,Bangunan,Alat,Palu,Palu,64,b,,,,0.059
,Bangunan,Alat,Obeng,Obeng,23,b,,,,-0.146
,Bangunan,Alat,Bor ,Bor ,9,b,,,,0.146
,Bangunan,Alat,Gergaji,Gergaji,63,b,,,,61.661
,Bangunan,Alat,Meteran,Meteran,32,b,,,,0.175
,Partisi,Pintu,Kayu,Kayu,51,b,,,,-25.456
,Partisi,Pintu,Engsel,Engsel,55,b,,,,-29.19
,Partisi,Pintu,Knop,Knop,70,b,,,,2.629
,Partisi,Pintu,Paku,Paku,30,b,,,,676.467
,Partisi,Jendela,Kaca,Kaca,6,b,,,,-4.317
,Partisi,Jendela,Kusen,Kusen,72,b,,,,-2.495
,Partisi,Jendela,Lem,Lem,17,b,,,,3.026
,Partisi,Jendela,Paku,Paku,72,b,,,,143.547
,Ruangan,Kamar mandi,Keramik,Keramik,81,b,,,,-0.16
,Ruangan,Kamar mandi,Kloset,Kloset,49,b,,,,-3.339
,Ruangan,Kamar mandi,Bak air,Bak air,25,b,,,,-0.196
,Ruangan,Dapur,Pipa gas,Pipa gas,100,b,,,,-6.953
,Ruangan,Dapur,Pipa air,Pipa air,53,b,,,,-3.649
,Ruangan,Dapur,Kabel,Kabel,57,b,,,,-0.59
,Ruangan,Dapur,Colokan listrik,Colokan listrik,27,b,,,,-20.844
,Ruangan,Kamar tidur,Lampu,Lampu,21,b,,,,-6.95
,Ruangan,Kamar tidur,Karpet,Karpet,67,b,,,,-21.257
,Ruangan,Kamar tidur,Lemari,Lemari,61,b,,,,-3.933
,Ruangan,Ruang makan,Meja,Meja,43,b,,,,-0.322
,Ruangan,Ruang makan,Kursi,Kursi,51,b,,,,-14.103
,Ruangan,Ruang makan,Tudung saji,Tudung saji,93,b,,,,-2.395
,Tenaga kerja,Mandor,Full time,Full time,21,g,0,186.3,42.6,228.9
,Tenaga kerja,Mandor,Full time,Full time,38,g,0,4.5,0.9,5.4
,Tenaga kerja,Mandor,Part time,Part time,89,,0,0,0,0
,Tenaga kerja,PM,Full time,Full time,70,b,,,,-194.019
,Tenaga kerja,PM,Full time,Full time,81,b,,,,-4.082
,Tenaga kerja,Pekerja,Full time,Full time,37,b,,,,-8.985
,Tenaga kerja,Pekerja,Part time,Part time,70,b,,,,-0.215
,Tenaga kerja,Pekerja,Part time,Part time,13,b,,,,-4.4
,Tenaga kerja,Pekerja,Full time,Full time,23,b,,,,-0.424
,Tenaga kerja,Supir,Full time,Full time,86,b,,,,-56.194
,Tenaga kerja,Supir,Part time,Part time,87,b,,,,-54.735
,Tenaga kerja,Supir,Full time,Full time,47,b,,,,-5.87
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Granitile,43,,0,0,0,0
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Granitile,86,b,,,,-194.019
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Granitile,63,b,,,,-4.082
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Granitile,89,b,,,,-8.985
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Crystal,50,b,,,,-0.215
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Crystal,38,b,,,,-4.4
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Crystal,37,b,,,,-0.424
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Crystal,65,b,,,,-56.194
,Lantai dan Dinding,Lantai Dasar,Keramik,30 x 30,76,b,,,,-54.735
,Lantai dan Dinding,Lantai Dasar,Keramik,30 x 30,75,b,,,,-5.87
,Lantai dan Dinding,Lantai Dasar,Keramik,30 x 30,15,b,,,,-10.513
,Lantai dan Dinding,Lantai Dasar,Keramik,30 x 30,81,b,,,,-20.811
,Lantai dan Dinding,Lantai Dasar,Keramik,60 x 60,20,b,,,,-0.225
,Lantai dan Dinding,Lantai Dasar,Keramik,60 x 60,27,b,,,,-0.134
,Lantai dan Dinding,Lantai Dasar,Keramik,60 x 60,100,b,,,,-1.126
,Lantai dan Dinding,Lantai Dasar,Keramik,90 x 90,72,b,,,,-5.8
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Granitile,8,b,,,,-0.672
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Granitile,45,b,,,,-3.552
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Granitile,22,b,,,,273.401
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Granitile,53,b,,,,3.761
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Crystal,90,b,,,,264.336
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Crystal,27,b,,,,2.195
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Crystal,32,b,,,,281.418
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Crystal,74,b,,,,0.399
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Roman,48,b,,,,75.119
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Roman,63,b,,,,0.61
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Roman,57,b,,,,0.767
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Roman,22,g,-28.2,0,0,-28.2
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Horse,86,g,0,35.7,36.9,72.6
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Horse,58,g,0,60,84.1,144.1
,Lantai dan Dinding,Lantai Dasar,Cat Tembok,Pearl White,65,,0,0,0,0
,Lantai dan Dinding,Lantai Dasar,Cat Tembok,Pearl White,36,g,0,0.9,0.5,1.4
,Lantai dan Dinding,Lantai Dasar,Cat Tembok,Pearl White,40,g,0,2.2,4,6.2
,Lantai dan Dinding,Lantai Dasar,Cat Tembok,Black,56,,0,0,0,0
,Lantai dan Dinding,Lantai Dasar,Cat Tembok,Black,89,g,0,0.3,0.3,0.6
,Lantai dan Dinding,Lantai Dasar,Cat Tembok,Cream,48,g,0,0.9,2.3,3.2
,Lantai dan Dinding,Lantai Dasar,Cat Tembok,Cream,43,,0,0,0,0
,Lantai dan Dinding,Lantai Dasar,Cat Tembok,Cream,86,b,,,,0.115
,Lantai dan Dinding,Lantai Dasar,Cat Tembok,Cream,56,b,,,,0.455
,Lantai dan Dinding,Lantai Dasar,Cat Tembok,Blue,75,b,,,,0.373
,Lantai dan Dinding,Lantai Dasar,Plint,Black,47,b,,,,0.132
,Lantai dan Dinding,Lantai Dasar,Plint,Black,85,b,,,,0.051
,Lantai dan Dinding,Lantai Dasar,Plint,White,40,b,,,,0.947
,Lantai dan Dinding,Lantai Dasar,Plint,White ,2,b,,,,2.496
,Lantai dan Dinding,Lantai Dasar,Plint,White,74,,0,0,0,0
,Lantai dan Dinding,Lantai Dasar,Plint,White,8,,0,0,0,0
,Lantai dan Dinding,Lantai Dasar,Plint,Yellow,67,,0,0,0,0
,Lantai dan Dinding,Lantai Dasar,Plint,Yellow,75,,0,0,0,0
,Lantai dan Dinding,Lantai Dasar,Plint,Green,24,b,,,,0.15
,Lantai dan Dinding,Lantai Dasar,Plint,Green,8,b,,,,-0.15
,Lantai dan Dinding,Lantai Dasar,Plint,Green,80,b,,,,0.265
,Lantai dan Dinding,Lantai Dua,Pelapis Lantai,Granitile,53,b,,,,0.569
,Lantai dan Dinding,Lantai Dua,Pelapis Lantai,Granitile,72,b,,,,0.144
,Lantai dan Dinding,Lantai Dua,Pelapis Lantai,Granitile,42,b,,,,0.194
,Lantai dan Dinding,Lantai Dua,Pelapis Lantai,Granitile,67,b,,,,-0.201
,Lantai dan Dinding,Lantai Dua,Pelapis Lantai,Crystal,40,b,,,,0.712
,Lantai dan Dinding,Lantai Dua,Pelapis Lantai,Crystal,11,b,,,,30.314
,Lantai dan Dinding,Lantai Dua,Pelapis Lantai,Crystal,79,b,,,,0.167
,Lantai dan Dinding,Lantai Dua,Pelapis Lantai,Crystal,41,b,,,,0.138
,Lantai dan Dinding,Lantai Dua,Keramik,30 x 30,33,b,,,,-0.051
,Lantai dan Dinding,Lantai Dua,Keramik,30 x 30,76,,0,0,0,0
,Lantai dan Dinding,Lantai Dua,Keramik,30 x 30,47,,0,0,0,0
,Lantai dan Dinding,Lantai Dua,Keramik,30 x 30,11,b,,,,0.175
,Lantai dan Dinding,Lantai Dua,Keramik,60 x 60,76,b,,,,0.056
,Lantai dan Dinding,Lantai Dua,Keramik,60 x 60,97,b,,,,0.189
,Lantai dan Dinding,Lantai Dua,Keramik,60 x 60,89,b,,,,0.2
,Lantai dan Dinding,Lantai Dua,Keramik,90 x 90,58,b,,,,9.727
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Granitile,18,b,,,,0.282
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Granitile,43,b,,,,10.97
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Granitile,44,b,,,,2.912
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Granitile,20,b,,,,-0.059
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Crystal,97,b,,,,0.068
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Crystal,96,b,,,,-0.056
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Crystal,73,b,,,,-0.175
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Crystal,36,b,,,,0.134
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Roman,18,b,,,,0.061
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Roman,42,b,,,,0.359
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Roman,31,b,,,,2.463
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Roman,71,b,,,,3.181
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Horse,47,b,,,,1.679
,Lantai dan Dinding,Lantai Dua,Pelapis Dinding,Horse,17,b,,,,0.242
,Lantai dan Dinding,Lantai Dua,Cat Tembok,Pearl White,54,b,,,,4.161
,Lantai dan Dinding,Lantai Dua,Cat Tembok,Pearl White,71,b,,,,0.156
,Lantai dan Dinding,Lantai Dua,Cat Tembok,Pearl White,74,b,,,,0.397
,Lantai dan Dinding,Lantai Dua,Cat Tembok,Black,12,b,,,,1.936
,Lantai dan Dinding,Lantai Dua,Cat Tembok,Black,3,b,,,,3.458
,Lantai dan Dinding,Lantai Dua,Cat Tembok,Cream,49,b,,,,0.077
,Lantai dan Dinding,Lantai Dua,Cat Tembok,Cream,60,b,,,,0.161
,Lantai dan Dinding,Lantai Dua,Cat Tembok,Cream,57,b,,,,2.965
,Lantai dan Dinding,Lantai Dua,Cat Tembok,Cream,86,b,,,,0.343
,Lantai dan Dinding,Lantai Dua,Cat Tembok,Blue,1,b,,,,0.097
,Lantai dan Dinding,Lantai Dua,Plint,Black,86,b,,,,0.08
,Lantai dan Dinding,Lantai Dua,Plint,Black,33,b,,,,2.055
,Lantai dan Dinding,Lantai Dua,Plint,White,92,b,,,,1.087
,Lantai dan Dinding,Lantai Dua,Plint,White ,3,b,,,,0.803
,Lantai dan Dinding,Lantai Dua,Plint,White,89,b,,,,0.468
,Lantai dan Dinding,Lantai Dua,Plint,White,11,b,,,,282.819
,Lantai dan Dinding,Lantai Dua,Plint,Yellow,4,b,,,,10.027
,Lantai dan Dinding,Lantai Dua,Plint,Yellow,75,b,,,,0.474
,Lantai dan Dinding,Lantai Dua,Plint,Green,90,b,,,,1.09
,Lantai dan Dinding,Lantai Dua,Plint,Green,1,b,,,,0.2
,Lantai dan Dinding,Lantai Dua,Plint,Green,46,b,,,,0.344
,Lantai dan Dinding,Basement,Pelapis Lantai,Roman,43,b,,,,0.418
,Lantai dan Dinding,Basement,Pelapis Lantai,Roman,29,b,,,,0.374
,Lantai dan Dinding,Basement,Keramik,Roman,100,b,,,,1.507
,Lantai dan Dinding,Basement,Keramik,Roman,55,b,,,,0.426
,Lantai dan Dinding,Basement,Keramik,Horse,37,b,,,,0.526
,Lantai dan Dinding,Basement,Pelapis Dinding,Horse,52,b,,,,0.069
,Lantai dan Dinding,Basement,Pelapis Dinding,Pearl White,49,b,,,,0.057
,Lantai dan Dinding,Basement,Pelapis Dinding,Pearl White,36,g,-337.8,0,0,-337.8
,Lantai dan Dinding,Basement,Pelapis Dinding,Pearl White,45,g,0,7.1,0,7.1
,Lantai dan Dinding,Basement,Cat Tembok,Black,67,g,0,391.3,5.7,397
,Lantai dan Dinding,Basement,Cat Tembok,Black,39,b,,,,0.103
,Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Space Operations,33,b,,,,4.271
,Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Science,67,b,,,,5
,Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Cross Agency Support,1,b,,,,2.921
,Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Exploration,52,b,,,,3.859
,Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Education,69,b,,,,0.173
,Other Spending,Basic research,"Space flight, research, and supporting activities (252)","Construction, Environmental Compliance, and Remediation",4,b,,,,0.545
,Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Space Technology,21,b,,,,0.519
,Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Deposit Insurance Fund,100,b,,,,-17.093
,Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Orderly Liquidation Fund,88,b,,,,1.515
,Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Credit Union Share Insurance Fund,60,b,,,,-0.139
,Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Central Liquidity Facility,36,b,,,,-0.11
,Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Temporary Corporate Credit Union Stabilization Fund,45,b,,,,-0.755
,Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),"Surveys, Investigations, and Research",50,b,,,,1.141
,Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Coastal Impact Assistance,38,b,,,,0.092
,Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Salaries and Expenses,33,b,,,,0.268
,Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Salaries and Expenses,25,b,,,,0.065
,Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Working Capital Fund,54,b,,,,0.102
,Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Interior Franchise Fund,49,b,,,,0.388
,Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),"Operations, Research, and Facilities",9,b,,,,0.105
,Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),"Operations, Research, and Facilities",91,b,,,,3.12
,Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Pacific Coastal Salmon Recovery,80,b,,,,0.076
,Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),"Procurement, Acquisition and Construction",72,b,,,,1.715
,Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Farm Credit System Insurance Fund,73,b,,,,-0.153
,Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Administrative and Operating Expenses,45,b,,,,0.075
,Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Federal Crop Insurance Corporation Fund,46,b,,,,-0.075
,Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Federal Crop Insurance Corporation Fund,17,b,,,,9.162
,Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Agricultural Credit Insurance Fund Program Account,33,b,,,,0.415
,Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Discrimination Claims Settlement,24,b,,,,1.15
,Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Agricultural Credit Insurance Fund Liquidating Account,84,b,,,,-0.163
,Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Commodity Credit Corporation Fund,55,b,,,,6.522
,Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Agricultural Disaster Relief Fund,57,b,,,,1.395
,Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Salaries and Expenses,83,b,,,,1.207
,Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Tobacco Trust Fund,17,b,,,,0.96
,Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Departmental Administration,53,b,,,,0.082
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),"Deposits of Fees, Inspection and Grading of Farm Products, AMS",94,b,,,,-0.151
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Economic Research Service,45,b,,,,0.086
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),National Agricultural Statistics Service,9,b,,,,0.178
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Salaries and Expenses,86,b,,,,1.135
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Research and Education Activities,92,b,,,,0.337
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Research and Education Activities,47,b,,,,0.478
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Integrated Activities,59,b,,,,0.083
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Extension Activities,68,b,,,,0.613
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Extension Activities,53,b,,,,0.095
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Salaries and Expenses,80,b,,,,0.857
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Salaries and Expenses,99,b,,,,0.27
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Marketing Services,85,b,,,,0.081
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Payments to States and Possessions,71,b,,,,0.054
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),"Expenses and Refunds, Inspection and Grading of Farm Products",6,b,,,,0.15
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Agriculture Buildings and Facilities and Rental Payments,2,b,,,,0.244
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Salaries and Expenses,64,b,,,,0.177
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Office of Civil Rights,83,b,,,,0.054
,Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Office of Inspector General,9,b,,,,0.092
,Other Spending,"Agriculture, forestry, fishing and hunti","Federal Intergovernmental  Natural Resources, Agriculture (Disc. 2005) (B54)",,87,,0,0,0,0
,Other Spending,"Agriculture, forestry, fishing and hunti",Federal Intergovernmental  Natural Resources (B59),,65,g,-2.6,0,0,-2.6
,Other Spending,"Agriculture, forestry, fishing and hunti",Current Operations  Agriculture  Other (Disc. 2005) (E54),,14,,0,0,0,0
,Other Spending,"Agriculture, forestry, fishing and hunti",Current Operations  State Fish and Game (E55),,4,g,0,3.1,0,3.1
,Other Spending,"Agriculture, forestry, fishing and hunti",Current Operations  State Forestry (E56),,49,g,0,1.7,0,1.7
,Other Spending,"Agriculture, forestry, fishing and hunti",Current Operations  Natural Resources  Other (E59),,54,g,0,1.4,5.2,6.5
,Other Spending,"Agriculture, forestry, fishing and hunti",Construction  Agriculture  Other (Disc. 2005) (F54),,3,,0,0,0,0
,Other Spending,"Agriculture, forestry, fishing and hunti",Construction  State Fish and Game (F55),,76,g,0,0.1,0,0.1
,Other Spending,"Agriculture, forestry, fishing and hunti",Construction  State Forestry (F56),,93,g,0,0.1,0,0.1
,Other Spending,"Agriculture, forestry, fishing and hunti",Construction  Natural Resources  Other (F59),,43,g,0,1,1.4,2.4
,Other Spending,"Agriculture, forestry, fishing and hunti",Other Capital Outlay  Agriculture  Other (Disc. 2005) (G54),,10,,0,0,0,0
,Other Spending,"Agriculture, forestry, fishing and hunti",Other Capital Outlay  State Fish and Game (G55),,26,g,0,0.5,0,0.5
,Other Spending,"Agriculture, forestry, fishing and hunti",Other Capital Outlay  State Forestry (G56),,39,g,0,0.2,0,0.2
,Other Spending,"Agriculture, forestry, fishing and hunti",Other Capital Outlay  Natural Resources  Other (G59),,46,g,0,0.4,0.9,1.3
,Other Spending,Fuel and energy,Energy supply (271),Payment Where Specified Energy Property Credit Exceeds Liability for Tax,86,b,,,,2.144
,Other Spending,Fuel and energy,Energy supply (271),"Grants for Specified Energy Property in Lieu of Tax Credits, Recovery Act",48,b,,,,1.705
,Other Spending,Fuel and energy,Energy supply (271),"Sale and Transmission of Electric Energy, Southwestern Power Administration",33,b,,,,-0.078
,Other Spending,Fuel and energy,Energy supply (271),"Sale and Transmission of Electric Energy, Southeastern Power Administration",64,b,,,,-0.179
,Other Spending,Fuel and energy,Energy supply (271),"Reclamation Fund, All Other, Sale of Electric Energy, Bonneville Power Administration",13,b,,,,-0.09
,Other Spending,Fuel and energy,Energy supply (271),"Reclamation Fund, All Other, Sale of Power and Other Utilities (WAPA)",86,b,,,,-0.189
,Other Spending,Fuel and energy,Energy supply (271),Nuclear Waste Disposal Fund,9,b,,,,-0.783
,Other Spending,Fuel and energy,Energy supply (271),"General Fund Payment  Defense, Decontamination and Decommissioning Fund",37,b,,,,-0.463
,Other Spending,Fuel and energy,Energy supply (271),Title 17 Innovative Technology Loan Guarantee Program,16,b,,,,0.55
,Other Spending,Fuel and energy,Energy supply (271),Fossil Energy Research and Development,78,b,,,,1.668
,Other Spending,Fuel and energy,Energy supply (271),Nondefense Environmental Cleanup,70,b,,,,0.223
,Other Spending,Fuel and energy,Energy supply (271),Electricity Delivery and Energy Reliability,95,b,,,,0.786
,Other Spending,Fuel and energy,Energy supply (271),Nuclear Energy,15,b,,,,0.764
,Other Spending,Fuel and energy,Energy supply (271),Energy Efficiency and Renewable Energy,46,b,,,,1.529
,Other Spending,Fuel and energy,Energy supply (271),"Energy Transformation Acceleration Fund, Recovery Act",63,b,,,,0.07
